TICKER,MARKET,YEAR,LISTPRICE,VOLUMEIPODAY,OPENPRICEIPODAY,HIGHESTPRICEIPODAY,CLOSINGPRICEIPODAY,NEWSHARES,TOTALAPPLICATIONS,TOTALAPPLICATIONSHARES,TOTALBALLOTINGOSCBED,BUMIAPPLICATIONS,BUMIAPPLICATIONSHARES,BUMIBALLOTINGOSCBED,XBUMIAPPLICATIONS,XBUMIAPPLICATIONSHARES,XBUMIBALLOTINGOSCBED,ELIGPERSONSSHARES,PVPLACEMENTSHARES,OFFERFORSALE,CAPITALRAISED,PUBLICISSUENEWSHARES,ENLARGEDSHARECAPITAL,MARKETCAPONLISTING
RESERVOIRLINK,ACE,2020,0.41,1892735,0.65,0.79,0.515,,,,11.49,,,,,,,,,,,,,
INNATURE,MAIN,2020,0.68,1437031,0.72,0.74,0.655,,,,13.43,,,,,,,,,,,,,
POWERWELL,ACE,2020,0.25,3041193,0.255,0.3,0.285,,,,24.27,,,,,,,,,,,,,
SOLARVEST,ACE,2019,0.35,298350,0.745,0.805,0.77,,,,35,,,,,,,,,,,,,
SDS,ACE,2019,0.23,1086974,0.26,0.27,0.255,,,,11.34,,,,,,,,,,,,,
MTAG,ACE,2019,0.53,2880588,0.7,0.7,0.44,,,,3.84,,,,,,,,,,,,,
ISTONE,ACE,2019,0.16,4479182,0.25,0.275,0.245,,,,11.56,,,,,,,,,,,,,
UWC,MAIN,2019,0.82,2007124,1.1,1.4,1.4,,,,4.98,,,,,,,,,,,,,
MESTRON,ACE,2019,0.16,3677031,0.2,0.21,0.165,,,,17.53,,,,,,,,,,,,,
GREATECH,ACE,2019,0.61,1927214,0.635,0.78,0.74,,,,9.41,,,,,,,,,,,,,
HPMT,MAIN,2019,0.56,711873,0.58,0.58,0.5,,,,8.27,,,,,,,,,,,,,
LEONGHUP,MAIN,2019,1.1,2153991,1.12,1.19,1.1,,,,3.64,,,,,,,,,,,,,
GAGASANNADI,ACE,2019,0.3,1185984,0.39,0.4,0.305,,,,20.2,,,,,,,,,,,,,
DPI,ACE,2019,0.25,1284897,0.345,0.35,0.27,,,,23,,,,,,,,,,,,,
SPRINGART,ACE,2019,0.25,957964,0.25,0.26,0.25,,,,14.7,,,,,,,,,,,,,
AME ELITE,MAIN,2019,1.3,497515,1.28,1.59,1.55,,,,4.39,,,,,,,,,,,,,
TASHIN,ACE,2019,0.58,531492,0.58,0.58,0.485,,,,5.42,,,,,,,,,,,,,
KIM HIN JOO,MAIN,2019,0.43,353804,0.39,0.39,0.35,,,,7.67,,,,,,,,,,,,,
TECHBOND,MAIN,2018,0.66,788076,0.805,0.885,0.86,11500000,8158,289750000,24.2,,,,,,,,,,,,,
SECUREMETRIC,ACE,2018,0.25,1514487,0.45,0.56,0.535,,,,20.26,,,,,,,,,,,,,
RADIANT,ACE,2018,0.23,1795671,0.5,0.65,0.53,,,,6.7,,,,,,,,,,,,,
NOVAWELLNESS,ACE,2018,0.55,879204,0.65,0.82,0.76,,,,2.84,,,,,,,,,,,,,
REVENUE,ACE,2018,0.37,1882969,0.55,0.69,0.625,,,,11.2,,,,,,,,,,,,,
MI,MAIN,2018,1.42,736832,1.39,1.63,1.54,,,,1.16,,,,,,,,,,,,,
TRIMODE,ACE,2018,0.61,38240,0.5,0.555,0.525,,,,3.74,,,,,,,,,,,,,
GDB,ACE,2018,0.35,423303,0.36,0.36,0.325,,,,43,,,,,,,,,,,,,
QES,ACE,2018,0.19,1230323,0.245,0.245,0.22,,,,19,,,,,,,,,,,,,
WEGMANS,ACE,2018,0.29,828043,0.305,0.32,0.295,,,,16.35,,,,,,,,,,,,,
BINASAT,ACE,2018,0.46,726398,0.6,0.65,0.59,,,,34.23,,,,,,,,,,,,,
ASASTERA,ACE,2017,0.25,1599203,0.33,0.33,0.3,,,,57.33,,,,,,,,,,,,,
LOTTE,MAIN,2017,6.5,454774,6.5,6.53,6.38,,,,,,,,,,,,,,,,,
ADVANCECON,MAIN,2017,0.63,1316451,0.74,0.855,0.845,,,,10.28,,,,,,,,,,,,,
INTABINA,ACE,2017,0.25,1264232,0.33,0.33,0.305,,,,42.74,,,,,,,,,,,,,
CABNET,ACE,2017,0.56,245745,0.68,0.745,0.71,,,,48,,,,,,,,,,,,,
EVERSAFE,ACE,2017,0.36,737476,0.46,0.465,0.41,,,,65,,,,,,,,,,,,,
ECOWORLD,MAIN,2017,1.2,4054,1.35,1.37,1.36,,,,9,,,,,,,,,,,,,
SERBADINAMIK,MAIN,2017,1.5,660261,1.53,1.59,1.52,,,,4.96,,,,,,,,,,,,,
KIPREIT,MAIN,2017,1,182410,1.04,1.04,0.995,,,,5.07,,,,,,,,,,,,,
MATANG,ACE,2017,0.13,3039148,0.14,0.155,0.14,,,,4.21,,,,,,,,,,,,,
HLT,ACE,2017,0.45,50540,0.55,0.555,0.52,,,,24.64,,,,,,,,,,,,,
